
活动连接

  协议  本地地址          外部地址        状态
  TCP    127.0.0.1:49200        MS-20160306BRJZ:49201  ESTABLISHED
  TCP    127.0.0.1:49201        MS-20160306BRJZ:49200  ESTABLISHED
  TCP    127.0.0.1:49202        MS-20160306BRJZ:49203  ESTABLISHED
  TCP    127.0.0.1:49203        MS-20160306BRJZ:49202  ESTABLISHED
  TCP    192.168.1.5:49264      119.29.123.63:http     CLOSE_WAIT
  TCP    192.168.1.5:49583      .:http                 ESTABLISHED
  TCP    192.168.1.5:49800      110.43.89.7:http       TIME_WAIT
  TCP    192.168.1.5:49801      110.43.89.13:http      TIME_WAIT
  TCP    192.168.1.5:49802      203.195.145.151:http   TIME_WAIT
  TCP    192.168.1.5:49803      14.17.42.43:36688      TIME_WAIT
  TCP    192.168.1.5:49808      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49809      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49810      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49811      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49812      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49813      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49814      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49815      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49816      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49817      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49818      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49819      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49820      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49821      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49822      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49823      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49824      110.43.89.12:http      TIME_WAIT
  TCP    192.168.1.5:49825      110.43.81.34:http      TIME_WAIT
  TCP    192.168.1.5:49826      .:http                 TIME_WAIT
  TCP    192.168.1.5:49827      14.17.42.43:36688      TIME_WAIT
  TCP    192.168.1.5:49828      110.43.81.34:http      TIME_WAIT
